jarak (m),rssi (dBm)
336.7758620689655,-88
335.8965517241379,-88
335.3103448275862,-89
334.4310344827586,-88
333.84482758620686,-88
332.9655172413793,-89
332.08620689655174,-89
331.2068965517241,-89
330.62068965517244,-88
330.0344827586207,-89
329.15517241379314,-90
328.2758620689655,-90
327.68965517241384,-90
326.8103448275862,-90
325.9310344827586,-90
325.34482758620686,-91
325.05172413793105,-91
323.58620689655174,-89
322.41379310344826,-89
321.2413793103448,-93
320.65517241379314,-91
319.7758620689655,-90
318.8965517241379,-90
318.3103448275862,-88
317.4310344827586,-90
316.84482758620686,-92
316.2586206896552,-91
315.9655172413793,-90
315.37931034482756,-91
315.08620689655174,-90
314.5,-90
313.91379310344826,-90
313.62068965517244,-90
312.44827586206895,-91
312.15517241379314,-92
311.5689655172414,-93
311.2758620689655,-90
310.6896551724138,-92
310.1034482758621,-90
309.2241379310345,-90
308.9310344827586,-90
308.34482758620686,-90
307.7586206896552,-95
307.4655172413793,-90
306.87931034482756,-91
306.2931034482759,-89
306.0,-92
305.41379310344826,-89
305.12068965517244,-90
304.5344827586207,-91
303.94827586206895,-89
303.65517241379314,-89
303.0689655172414,-91
302.7758620689655,-90
302.1896551724138,-89
301.6034482758621,-91
300.7241379310345,-91
300.1379310344828,-95
299.84482758620686,-93
299.2586206896552,-101
298.9655172413793,-93
298.37931034482756,-95
297.7931034482759,-93
296.91379310344826,-92
296.0344827586207,-92
295.15517241379314,-90
294.5689655172414,-91
293.1034482758621,-92
292.81034482758616,-91
292.2241379310345,-92
291.6379310344828,-91
290.1724137931035,-91
289.2931034482759,-91
289.0,-93
287.8275862068965,-92
287.5344827586207,-91
286.94827586206895,-91
286.3620689655172,-91
285.48275862068965,-90
285.1896551724138,-89
284.6034482758621,-92
284.01724137931035,-90
283.72413793103453,-92
282.8448275862069,-91
282.2586206896552,-89
281.67241379310343,-89
281.37931034482756,-91
280.7931034482759,-91
280.2068965517241,-90
279.91379310344826,-88
279.3275862068965,-92
279.0344827586207,-87
278.44827586206895,-87
277.8620689655172,-86
277.5689655172414,-86
276.6896551724138,-87
276.1034482758621,-89
275.51724137931035,-88
275.22413793103453,-88
274.6379310344828,-90
274.05172413793105,-91
273.17241379310343,-88
272.87931034482756,-88
272.2931034482758,-90
271.7068965517242,-87
271.41379310344826,-89
270.8275862068965,-89
270.2413793103448,-88
269.94827586206895,-87
269.3620689655172,-93
269.0689655172414,-87
268.48275862068965,-86
267.8965517241379,-88
267.6034482758621,-84
266.72413793103453,-92
266.1379310344828,-87
265.55172413793105,-87
