jarak_meter,rata_rssi,jumlah_data,jumlah_invalid_data,persentase_invalid_data,kategori
243,-87.33,3,0,0.0,Main Route
244,-87.75,4,0,0.0,Main Route
245,-88.0,2,0,0.0,Main Route
246,-89.75,4,0,0.0,Main Route
247,-90.33,3,0,0.0,Main Route
248,-89.0,2,0,0.0,Main Route
249,-89.0,3,0,0.0,Main Route
250,-90.0,2,0,0.0,Main Route
251,-88.4,5,0,0.0,Main Route
252,-89.25,4,0,0.0,Main Route
253,-86.5,2,0,0.0,Main Route
254,-87.67,3,0,0.0,Main Route
255,-91.0,3,0,0.0,Main Route
256,-91.0,1,0,0.0,Main Route
257,-92.5,2,0,0.0,Main Route
258,-92.33,3,0,0.0,Main Route
259,-91.0,2,0,0.0,Main Route
260,-91.5,2,0,0.0,Main Route
261,-92.33,3,0,0.0,Main Route
262,-91.0,2,0,0.0,Main Route
263,-90.0,4,0,0.0,Main Route
264,-90.25,4,0,0.0,Main Route
265,-89.0,2,0,0.0,Main Route
266,-89.33,3,0,0.0,Main Route
267,-92.0,1,0,0.0,Main Route
268,-88.25,4,0,0.0,Main Route
269,-91.33,3,0,0.0,Main Route
270,-91.0,4,0,0.0,Main Route
271,-90.67,3,0,0.0,Main Route
272,-90.33,3,0,0.0,Main Route
273,-91.0,4,2,50.0,Main Route
274,-92.0,2,0,0.0,Main Route
275,-91.33,3,0,0.0,Main Route
276,-90.33,3,1,33.33,Main Route
277,-90.5,2,0,0.0,Main Route
278,-88.25,4,1,25.0,Main Route
279,-89.5,2,0,0.0,Main Route
280,-89.0,2,0,0.0,Main Route
281,-91.0,2,0,0.0,Main Route
282,-89.0,2,0,0.0,Main Route
283,-91.0,1,0,0.0,Main Route
284,-91.0,2,0,0.0,Main Route
285,-90.33,3,0,0.0,Main Route
286,-91.0,1,0,0.0,Main Route
287,-91.0,1,0,0.0,Main Route
288,-91.5,2,0,0.0,Main Route
289,-92.0,2,0,0.0,Main Route
290,-91.0,1,0,0.0,Main Route
292,-91.5,2,0,0.0,Main Route
293,-91.5,2,0,0.0,Main Route
295,-90.5,2,0,0.0,Main Route
296,-92.0,1,0,0.0,Main Route
297,-92.0,1,0,0.0,Main Route
298,-94.0,2,0,0.0,Main Route
299,-97.0,2,1,50.0,Main Route
300,-94.0,2,0,0.0,Main Route
301,-91.0,1,0,0.0,Main Route
302,-90.0,2,0,0.0,Main Route
303,-90.5,2,0,0.0,Main Route
304,-89.0,2,0,0.0,Main Route
305,-90.0,3,0,0.0,Main Route
306,-90.5,2,0,0.0,Main Route
307,-90.5,2,0,0.0,Main Route
308,-92.5,2,0,0.0,Main Route
309,-90.0,2,0,0.0,Main Route
310,-90.0,1,0,0.0,Main Route
311,-91.0,2,0,0.0,Main Route
312,-93.75,4,0,0.0,Main Route
313,-95.0,2,0,0.0,Main Route
314,-91.25,4,0,0.0,Main Route
315,-92.33,3,1,33.33,Main Route
316,-90.5,2,0,0.0,Main Route
317,-94.33,3,0,0.0,Main Route
318,-88.0,1,0,0.0,Main Route
319,-93.0,2,1,50.0,Main Route
320,-90.0,1,0,0.0,Main Route
321,-92.0,2,0,0.0,Main Route
322,-89.0,1,0,0.0,Main Route
324,-89.0,1,0,0.0,Main Route
325,-91.0,2,0,0.0,Main Route
326,-90.0,1,0,0.0,Main Route
327,-92.33,3,2,66.67,Main Route
328,-91.0,3,1,33.33,Main Route
329,-90.0,1,0,0.0,Main Route
330,-89.0,1,0,0.0,Main Route
331,-91.0,3,0,0.0,Main Route
332,-89.0,1,0,0.0,Main Route
333,-89.0,1,0,0.0,Main Route
334,-88.0,2,0,0.0,Main Route
335,-89.0,1,0,0.0,Main Route
336,-88.0,1,0,0.0,Main Route
337,-88.5,2,0,0.0,Main Route
338,-95.67,3,0,0.0,Main Route
339,-91.25,4,0,0.0,Main Route
340,-94.5,2,1,50.0,Main Route
341,-92.33,3,1,33.33,Main Route
342,-92.5,2,1,50.0,Main Route
343,-89.0,1,0,0.0,Main Route
344,-90.0,1,0,0.0,Main Route
345,-91.5,2,0,0.0,Main Route
346,-90.0,1,0,0.0,Main Route
347,-94.0,1,0,0.0,Main Route
348,-89.0,1,0,0.0,Main Route
351,-99.0,1,1,100.0,Main Route
352,-97.0,1,1,100.0,Main Route
